Store Number,R,P,C
11854,5171050,4227746,943304
79420,3766392,-3386237,7152629
3872,7935455,6978394,957061
13448,6652067,-2957730,9609797
10325,4649923,2413137,2236786
7459,2743118,-2150741,4893859
11182,7235935,6199211,1036724
7329,8818047,1086381,7731666
7907,2592451,-848770,3441221
76864,2193494,-420242,2613736
9991,1473845,352106,1121739
76677,6456219,5935641,520578
7570,3348381,-818264,4166645
16926,7022373,-902654,7925027
76855,3416367,-2212985,5629352
13411,7857068,7010606,846462
75663,7102406,-1021492,8123898
76481,9332666,103226,9229440
7773,3935422,-3313064,7248486
885,6520073,2370363,4149710
9716,7621345,326066,7295279
7960,3637364,3155742,481622
7450,3865927,-5720632,9586559
14996,1249148,-1371859,2621007
10278,2167954,-1234401,3402355
11531,1238354,-7044774,8283128
5107,1996570,1280093,716477
11848,6138387,417090,5721297
7658,1023381,-458716,1482097
833,1696744,-6025838,7722582
2765,8180642,-1251149,9431791
11757,4758701,-3871146,8629847
8650,1742594,-5234870,6977464
9269,6359512,3946210,2413302
7356,4876768,4011515,865253
7772,5626135,-2327740,7953875
15489,1186175,-7809723,8995898
9984,6933482,-2426166,9359648
75861,1423696,-7706773,9130469
75860,8791494,4464263,4327231
7812,3350318,-772055,4122373
7522,2423476,-1988349,4411825
13978,4479933,-3110294,7590227
802,9854674,4370358,5484316
7269,3751058,-1814892,5565950
9913,7511871,5666680,1845191
7279,9003008,7549073,1453935
10598,8121825,7248881,872944
7258,3454027,-2656409,6110436
876,5451819,4335313,1116506
7553,7610683,-621629,8232312
866,6658849,1528265,5130584
76681,9102793,482756,8620037
7283,3294243,2573024,721219
7364,8750653,7685260,1065393
7205,7641127,6070163,1570964
8988,3980280,-2764437,6744717
10037,7588603,-586925,8175528
76315,9970330,8803334,1166996
816,3537769,-153995,3691764
15208,2936398,-5231389,8167787
14138,1626693,-3672353,5299046
78032,8402052,7492963,909089
7502,6558287,-642802,7201089
871,4144885,97706,4047179
7835,2185453,-181048,2366501
8873,7466952,7339346,127606
2764,9555890,4804561,4751329
827,7752402,2311678,5440724
16917,4071125,2601938,1469187
75650,6659063,5221385,1437678
810,9529657,5254087,4275570
7241,4856571,766639,4089932
7538,9192653,8713806,478847
7102,2097443,-4950689,7048132
861,3083065,-3111724,6194789
75840,7875538,-697856,8573394
16158,2224759,-244251,2469010
7436,1780033,-475848,2255881
75808,2079464,-6180921,8260385
7550,2351435,2131379,220056
72417,4328006,-4442956,8770962
75534,3520659,-4732646,8253305
7338,7094578,220413,6874165
75649,5390534,-2368750,7759284
8742,3333581,2601132,732449
72208,6102731,1513195,4589536
857,2670774,-2773238,5444012
75637,5922066,-3433846,9355912
862,6146327,5551434,594893
883,2784057,-382934,3166991
9463,3684939,-651980,4336919
864,6162494,3867657,2294837
875,9497397,7005995,2491402
7535,3279920,-1349093,4629013
7805,5587338,5274072,313266
3773,3917815,-1158414,5076229
7268,9591636,1789701,7801935
801,6092861,-2841574,8934435
7531,8369670,1370370,6999300
7382,4293789,3193968,1099821
869,8540143,-1354207,9894350
7201,3612821,-202453,3815274
11684,1563736,-2689247,4252983
10599,6431039,5253662,1177377
7377,3183108,-4999636,8182744
7564,6171207,3048461,3122746
7686,2780814,-21204,2802018
830,3264267,-5026449,8290716
807,3371778,527705,2844073
870,9263298,9153300,109998
7916,2622814,-1917839,4540653
78025,6744218,5024678,1719540
75830,2114183,-6217678,8331861
7544,4417760,2342268,2075492
72111,9299334,1551335,7747999
75265,7950413,5513243,2437170
822,1844709,-7515234,9359943
7652,1702732,-3520032,5222764
75912,6309282,500444,5808838
10155,2166156,1291117,875039
70015,8919731,-537225,9456956
7702,4625366,-468182,5093548
72107,4184710,-521529,4706239
872,4778186,1511798,3266388
75513,4542743,-10537,4553280
8741,5295175,-1490428,6785603
7234,8340032,-526733,8866765
72163,4780509,3424950,1355559
824,6540687,-1531766,8072453
11726,9943800,2568866,7374934
7551,1259287,-7984368,9243655
7823,4648064,-5159023,9807087
2767,4420792,-5215407,9636199
867,3310655,-469635,3780290
75363,6065751,-2113934,8179685
7384,8237812,149084,8088728
7224,5416731,4831143,585588
7804,8940947,3446308,5494639
7336,5526318,-2919594,8445912
7481,9759714,9161134,598580
16439,5634390,472116,5162274
76139,5956540,-262426,6218966
811,5715484,1089628,4625856
835,4361426,-139283,4500709
7797,3806535,2648887,1157648
76403,8154914,4719944,3434970
880,2003268,-7892785,9896053
7270,3287366,-4275449,7562815
8956,5631598,-2683195,8314793
7301,4196032,-48045,4244077
7808,3814993,-4326098,8141091
7227,4328863,682816,3646047
7314,6880498,6323518,556980
10962,4600432,-5249652,9850084
868,4981670,335993,4645677
16092,9546036,90248,9455788
7565,3953561,-4958689,8912250
7992,4686544,1670850,3015694
15209,3639644,-6167524,9807168
7218,9207000,-497660,9704660
874,2418592,-2935339,5353931
9523,8316265,2083965,6232300
7328,2544622,-2002567,4547189
70090,5528594,-3719164,9247758
7399,5545316,-2095367,7640683
10167,8782142,6700741,2081401
13718,2623298,-2767564,5390862
7718,5773280,-2076975,7850255
7861,7098539,2300515,4798024
7406,7888027,-2068517,9956544
7844,6324912,-1165271,7490183
79377,4547180,402709,4144471
76412,2098448,-3348897,5447345
9922,8744297,4968315,3775982
7528,5988051,-1324715,7312766
7210,8268391,-1242262,9510653
11974,8301776,3283494,5018282
13631,4942898,-1466877,6409775
